FullName;NickName;RelationID;Phone;Email;Address;Birthday
Mary M. Morrow;;7;1-544-769-8516;leo.Vivamus.nibh@Crassedleo.org;P.O. Box 664, 533 Ligula St., Brazil;07.02.1978
Aidan S. Horn;;7;1-840-493-8210;sed.turpis.nec@arcu.ca;366-761 Quis Street, Molenbeersel, Netherlands;25.06.1978
Stewart L. Fields;;6;862-1692;sodales.elit@nondapibus.edu;6530 Diam Rd., Meldert, Netherlands;23.05.1961
Miriam W. Graves;;6;982-2761;vitae.diam.Proin@gravidaAliquam.net;P.O. Box 928, 6070 Conubia St., Germany;02.04.1964
Sara U. Valencia;;5;1-347-242-3579;tempus.mauris.erat@sem.com;3649 Vulputate Road, Corroy-le-Grand, Germany;13.11.1989
Carlisle B. Dotson;;5;1-571-142-0347;volutpat.ornare@Proinvelarcu.edu;2134 Donec Ave, Solesino, Austria;31.07.1987
Dr. Imani Y. Phelps;;8;1-212-232-5178;purus@semsemper.co.uk;9642 Neque Av., Milford Haven, Austria;12.07.1950
Charly M. Long;;5;1-942-882-8756;Donec.luctus@Pellentesquehabitant.net;1145 Blandit Rd., Newtown, Germany;10.01.1989
Patricia Doe;Auntie Patty;2;1-912-484-7387;eu@sedpedenec.org;Ap #868-1491 Aliquet Rd., Bandırma, Germany;29.10.1974
Roberta Doe;Grandma;1;864-6590;metus.In.lorem@utmi.edu;P.O. Box 459, 2981 Diam Avenue, Germany;11.12.1948
Joseph A. Mcgowan;;6;1-246-688-9350;vitae.orci.Phasellus@rhoncusProinnisl.ca;564-8339 Nonummy. Street, Beersel, Germany;07.02.1957
Rupert Doe;Grandpa;1;1-916-275-4485;at@sitametdiam.net;8216 Metus Rd., Bareilly, Germany;19.04.1948
Charlotta Z. Sherman;;6;873-5688;at.augue@maurissagittisplacerat.org;P.O. Box 995, 610 Ac Ave, Austria;30.01.1962
Meredith R. Mckay;;4;121-5078;eu.eleifend@liberomaurisaliquam.ca;9438 Faucibus Avenue, Rollegem, Germany;28.08.1986
Blossom M. Hopper;;7;1-589-101-5363;auctor@feugiat.ca;Ap #596-2384 Purus. Av., Rocca di Cambio, Germany;18.04.1976
Harlan H. Ward;;6;831-5354;Proin.non@eros.org;P.O. Box 911, 5911 Diam Avenue, Germany;05.07.1962
Barry X. Wolfe;;5;1-274-554-8668;eleifend@ridiculus.edu;P.O. Box 733, 7593 Ullamcorper Ave, Germany;20.11.1989
Hadassah I. Shepherd;;5;1-622-740-7489;eu.augue.porttitor@Donec.com;P.O. Box 822, 8844 Suspendisse Rd., Germany;11.04.1992
Galvin N. Harrell;;7;1-413-494-6485;a.facilisis@in.ca;P.O. Box 670, 3959 Tristique Av., Germany;16.07.1982
Adara D. Copeland;;6;1-707-753-6160;sed.orci@ligulaAliquam.net;P.O. Box 713, 1105 Parturient St., Germany;15.10.1958
Dr. Galena G. Garcia;;8;1-959-367-5775;at.pretium@pede.net;P.O. Box 888, 3713 Lorem, Germany;13.12.1950
John Doe;Johnny;1;1-824-719-2723;enim.Nunc@etlibero.org;4179 Euismod Av., Podolsk, Germany;02.06.2006
Robert H. Wynn;Rob;6;745-4132;eros@Phasellusdolor.net;Ap #656-6661 Mollis Rd., Neufeld an der Leitha, Germany;30.11.1963
Hyacinth V. Garcia;;6;403-6657;pede.et@ligulaAeneangravida.com;Ap #318-2211 Commodo Rd., Rothesay, Germany;15.08.1962
Miryam K. Briggs;;7;1-386-647-5619;molestie.tortor.nibh@commodo.net;Ap #369-2377 Consectetuer Ave, Kiel, Germany;07.05.1977
Jacob J. Webster;Jake;6;1-850-893-9946;nulla.at.sem@egestasSedpharetra.edu;Ap #365-252 Enim, Avenue, Germany;05.03.1963
Sarah Z. Conway;;7;1-411-788-3762;adipiscing@euismod.org;374-8871 Mi Rd., Temse, USA;28.11.1980
Dr. Winifred X. Brennan;;8;1-857-961-7532;lectus.pede@musAenean.ca;672-8963 Magna Rd., Arica, USA;27.06.1953
Yakob J. Fulton;;6;891-3938;quis.accumsan@pellentesquetellus.net;901-9635 Nunc Street, Springfield, USA;14.12.1956
Victoria V. Gilmore;Vicky;4;411-6049;id.blandit@mi.net;P.O. Box 636, 6270 Dapibus Ave, USA;02.05.1986
Desiree Z. Fuentes;;7;475-1390;erat.nonummy.ultricies@orci.edu;1081 Tempor Rd., Semarang, USA;30.09.1965
Fay D. Ellis;;7;159-5481;urna.Nullam.lobortis@odio.org;325-3744 Faucibus Street, Kolmont, USA;27.08.1978
Gretchen L. Mann;Gretch;7;356-5031;nonummy.Fusce.fermentum@ipsumPhasellusvitae.org;Ap #857-4907 Nunc Rd., Lloydminster, USA;29.04.2001
Rooney G. Aguirre;;7;1-415-524-1120;tincidunt.nibh.Phasellus@NullafacilisiSed.org;Ap #789-3099 Aliquam Avenue, Lockerbie, USA;26.04.1980
Pat Baldwin;;7;1-629-112-2007;sit.amet.lorem@Maurisblanditenim.org;6121 Orci. Ave, Béziers, USA;20.06.1974
Patrizia Q. May;Porty;3;694-9571;sem.ut.dolor@dolor.co.uk;1833 Placerat, Av., USA;15.03.1983
Beatrice P. Hensley;;4;625-6784;elit@Suspendisse.ca;6919 Consequat Ave, Smoky Lake, USA;25.12.1984
Victor Q. Whitehead;;7;1-182-906-5971;viverra.Donec@hendreritconsectetuer.edu;Ap #236-9192 Quisque St., Cheltenham, USA;19.01.1966
Charlotte C. Paul;Charlie;6;1-720-431-2307;libero@magnaSuspendissetristique.ca;Ap #561-9832 Et Street, Loppem, USA;13.04.1958
Raya M. King;;4;1-545-373-7032;nec@Nunc.co.uk;2237 Et Av., Dzerzhinsky, USA;18.06.1984
Ferris B. Chase;;5;1-217-901-7111;Aliquam@ascelerisque.com;Ap #326-4004 Est. St., Gunpo, USA;26.07.1992
Isaac A. Ashley;;7;901-2617;metus.vitae.velit@eu.edu;3130 Velit. Rd., Bella, USA;21.10.1995
Craig R. Jacobs;;6;1-380-934-4256;cursus@consectetuereuismod.com;9411 Ultricies Avenue, Munich, USA;14.09.1958
Bob Doe;Uncle Bobby;2;1-946-596-0349;diam.Pellentesque@orci.org;P.O. Box 677, 3638 Amet Av., USA;25.10.1974
Rae S. Carr;;4;1-106-466-3540;Proin.vel.nisl@quisurnaNunc.net;P.O. Box 625, 3879 In Av., USA;23.11.1982
Charlie C. Boyle;;5;1-120-228-0978;lectus@blanditcongue.net;922-8416 Dapibus Street, Sart-Eustache, USA;01.02.1992
Egor U. Powers;;7;333-6618;In.at.pede@Namacnulla.org;Ap #108-3110 Donec Rd., Madiun, USA;04.02.1971
